npi,provider_name,entity_type,taxonomy_description,city,state
1003960022,SOUTHEASTERN COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE INC,NPI-2,Substance Abuse Rehabilitation Facility,LEBANON,CT
1003982133,EMPACT-SUICIDE PREVENTION CENTER,NPI-2,Community/Behavioral Health,TEMPE,AZ
1013005016,MARYLAND MEDICAL FIRST P.A.,NPI-2,Internal Medicine,BALTIMORE,MD
1013030808,COUNTY OF MERCED,NPI-2,Psychiatric Hospital,MERCED,CA
1013093616,NATIONAL MENTOR HEALTHCARE NETWORK,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,JACKSONVILLE,FL
1013131804,BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),BOSTON,MA
1013146786,EASTER SEALS ARKANSAS,NPI-2,Day Training  Developmentally Disabled Services,LITTLE ROCK,AR
1013358118,BAYADA HOME HEALTH CARE  INC.,NPI-2,Home Health,FOXBORO,MA
1013622638,SAFE ARK WELLNESS LLC,NPI-2,Clinic/Center  Adult Mental Health,PHOENIX,AZ
1013671502,ELITE DIAGNOSTICS LABORATORIES LLC,NPI-2,Clinical Medical Laboratory,WOODRIDGE,IL
1013919315,ATLANTICARE REGIONAL MEDICAL CENTER,NPI-2,General Acute Care Hospital,POMONA,NJ
1013927821,TOUCHSTONE BEHAVIORAL HEALTH,NPI-2,Community/Behavioral Health,PHOENIX,AZ
1023035870,COUNCIL BLUFFS COMMUNITY SCHOOL DISTRICT,NPI-2,Local Education Agency (LEA),COUNCIL BLUFFS,IA
1023049236,THE GENERAL HOSPITAL CORPORATION,NPI-2,General Acute Care Hospital,BOSTON,MA
1023054004,FAMILY HEALTH CENTERS OF SAN DIEGO  INC,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),SAN DIEGO,CA
1023116548,INTELI-CARE  LLC,NPI-2,Home Health,ALBUQUERQUE,NM
1023130721,UNITED CEREBRAL PALSY OF ARKANSAS,NPI-2,Occupational Therapist,LITTLE ROCK,AR
1023140498,COMMONWEALTH OF MASSACHUSETTS-DDS,NPI-2,Case Management,S WEYMOUTH,MA
1023174455,JEWISH FAMILY & CHILDREN'S SERVICE,NPI-2,Community/Behavioral Health,PHOENIX,AZ
1023199965,MACOMB OAKLAND REGIONAL CENTER INC.,NPI-2,Community/Behavioral Health,AUBURN HILLS,MI
1023275245,VARIETY CHILDREN'S HOSPITAL,NPI-2,General Acute Care Hospital  Children,WESTON,FL
1023354933,SOUTHWEST BROOKLYN HEALTH HOME  LLC,NPI-2,Case Management,BROOKLYN,NY
1023432341,PEOPLECARE OF EASTERN COLORADO  LLC,NPI-2,In Home Supportive Care,DENVER,CO
1023489911,A-PLUS CARE HHC,NPI-2,Home Health,BROOKLYN,NY
1023586260,MOLECULAR STAT LABORATORY  INC.,NPI-2,Clinical Medical Laboratory,SUNRISE,FL
1023613403,STATE OF INDIANA  AUDITOR OF STATE,NPI-2,Public Health or Welfare,INDIANAPOLIS,IN
1023665874,CARE AT HOME OF DELAWARE  LLC,NPI-2,Technician  Attendant Care Provider,WILMINGTON,DE
1033156567,CODAC HEALTH RECOVERY AND WELLNESS,NPI-2,Community/Behavioral Health,TUCSON,AZ
1033161948,CLEVELAND CLINIC CHILDREN'S HOSPITAL FOR REHABILITATION,NPI-2,Rehabilitation Hospital  Children,CLEVELAND,OH
1033165527,HEALTH SOLUTIONS,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),PUEBLO,CO
1033201157,REHABILITATION CENTERS  LLC,NPI-2,Respite Care,MAGEE,MS
1033293097,ALTERNATIVE SERVICES  INC.,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,LIVONIA,MI
1033370317,STARLIGHT HOME CARE AGENCY  INC,NPI-2,Home Health,SADDLE BROOK,NJ
1033477062,PLANNED PARENTHOOD OF GREATER OHIO,NPI-2,Clinic/Center  Ambulatory Family Planning Facility,AKRON,OH
1033480488,PALMETTO OXYGEN  LLC,NPI-2,Durable Medical Equipment & Medical Supplies  Oxygen Equipment & Supplies,CARY,NC
1033509070,COPE COMMUNITY SERVICES  INC.,NPI-2,Clinic/Center  Methadone Clinic,TUCSON,AZ
1033571658,C AND T HOMECARE SERVICES LLC,NPI-2,In Home Supportive Care,GREAT NECK,NY
1033701701,ELITE MEDICAL LAB,NPI-2,Clinical Medical Laboratory,RAMSEY,NJ
1033724109,MIRA PRECISION HEALTH  INC,NPI-2,Clinical Medical Laboratory,MASON,OH
1043243140,WEBER HUMAN SERVICES,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),OGDEN,UT
1043244726,PASTEUR INC,NPI-2,Clinical Medical Laboratory,VAN NUYS,CA
1043260243,DIVERSUS HEALTH INC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),COLORADO SPRINGS,CO
1043279011,PREFERRED HOME HEALTH CARE & NURSING SERVICES  INC.,NPI-2,Home Health,MOUNT LAUREL,NJ
1043297328,ABC HEALTH CARE  INC.,NPI-2,Home Health,MAUMEE,OH
1043309735,ACCREDO HEALTH GROUP INC,NPI-2,Pharmacy  Specialty Pharmacy,ORLANDO,FL
1043317969,BENZER CO 1 LLC,NPI-2,Pharmacy  Community/Retail Pharmacy,BYERS,CO
1043348808,NORTON HOSPITALS INC,NPI-2,General Acute Care Hospital,LOUISVILLE,KY
1043386659,COUNTY OF SACRAMENTO,NPI-2,Clinic/Center  Adult Mental Health,SACRAMENTO,CA
1043422660,PROGRESSIVE LIFESTYLES  INC.,NPI-2,Home Health,WATERFORD,MI
1043424278,DANVILLE SERVICES OF ARIZONA  L.L.C.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,TUCSON,AZ
1043447493,LEE RESIDENTIAL CARE LLC,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,HAMPDEN,ME
1043488034,SOUTHERN HOME CARE SERVICES  INC.,NPI-2,Home Health,VALDOSTA,GA
1043498363,BILINGUALS INC.,NPI-2,Early Intervention Provider Agency,FOREST HILLS,NY
1043530017,KIDS FOR THE FUTURE OF FORREST CITY  INC.,NPI-2,Early Intervention Provider Agency,FORREST CITY,AR
1043718588,BEACON POINT RECOVERY CENTER  LLC.,NPI-2,Clinic/Center  Rehabilitation  Substance Use Disorder,PHILADELPHIA,PA
1043920390,AMANI INTEGRATED TREATMENT CENTER LLC,NPI-2,Community/Behavioral Health,PHOENIX,AZ
1053074757,RAINBOW LAB INC,NPI-2,Clinical Medical Laboratory,CHICAGO,IL
1053321869,GIRLING HEALTH CARE  INC.,NPI-2,Home Health,AUSTIN,TX
1053359729,SAGE RIVER COUNSELING,NPI-2,Counselor  Mental Health,SEATTLE,WA
1053380782,ARROWHEAD WEST  INC.,NPI-2,Contractor  Vehicle Modifications,DODGE CITY,KS
1053467779,PORT RESOURCES,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,SOUTH PORTLAND,ME
1053486621,VIRGINIA BAPTIST CHILDREN'S HOME & FAMILY SERVICES,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,SALEM,VA
1053533554,NEW OUTLOOK  INC.,NPI-2,Adult Companion,LIVONIA,MI
1053607754,AVATAR RESIDENTIAL  INC.,NPI-2,Day Training  Developmentally Disabled Services,WARWICK,RI
1053608265,RE-FOCUS INC.,NPI-2,Day Training  Developmentally Disabled Services,PROVIDENCE,RI
1053635599,NEW HORIZON YOUTH HOMES,NPI-2,Community/Behavioral Health,TEMPE,AZ
1053641498,CENTRIA HEALTHCARE LLC,NPI-2,Home Health,FARMINGTON HILLS,MI
1053652438,SBH EL PASO  LLC,NPI-2,Psychiatric Hospital,ESPANOLA,NM
1053772905,SIERRA REGIONAL CENTER,NPI-2,Respite Care,SPARKS,NV
1053821728,ABS UTAH  P.C.,NPI-2,Community/Behavioral Health,SALT LAKE CITY,UT
1053910539,SEALL INC,NPI-2,Residential Treatment Facility  Emotionally Disturbed Children,BENNINGTON,VT
1063040111,ABILITY UNITED LLC,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,CARROLL,IA
1063181774,CARE CLINICAL LAB INC,NPI-2,Clinical Medical Laboratory,SKOKIE,IL
1063431070,JOHN F MURPHY HOMES  INC.,NPI-2,Nursing Facility/Intermediate Care Facility,AUBURN,ME
1063436723,WALL RESIDENCES  LLC,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,FLOYD,VA
1063455665,PUYALLUP TRIBAL HEALTH AUTHORITY,NPI-2,Clinic/Center  Primary Care,TACOMA,WA
1063463768,FLORIDA CLINICAL PRACTICE ASSOCIATION INC,NPI-2,Surgery,GAINESVILLE,FL
1063497451,LABORATORY CORPORATION OF AMERICA HOLDINGS,NPI-2,Clinical Medical Laboratory,RARITAN,NJ
1063501476,NORTHWESTERN COUNSELING & SUPPORT SERVICES INC,NPI-2,Community/Behavioral Health,SAINT ALBANS,VT
1063520286,MAXIM HEALTHCARE SERVICES  INC.,NPI-2,Home Health,SAN BERNARDINO,CA
1063567691,YUKON-KUSKOKWIM HEALTH CORPORATION,NPI-2,General Acute Care Hospital  Rural,BETHEL,AK
1063568764,JHC OPERATIONS  LLC,NPI-2,Home Health,MOUNT VERNON,TX
1063636165,ARIZONA'S CHILDREN ASSOCIATION,NPI-2,Clinic/Center  Adolescent and Children Mental Health,TUCSON,AZ
1063794618,SMILE NEW YORK OUTREACH LLC,NPI-2,Clinic/Center  Dental,LONG ISLAND CITY,NY
1063812105,ABI FI CORP,NPI-2,Home Health,FLUSHING,NY
1073055208,COMPASS HEALTH  INC.,NPI-2,Community/Behavioral Health,CLINTON,MO
1073090098,BRIDGE SUPPORT SERVICES  LLC,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,GORHAM,ME
1073569034,ACCREDO HEALTH GROUP INC,NPI-2,Pharmacy,IRVING,TX
1073576740,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,NPI-2,General Acute Care Hospital,PHOENIX,AZ
1073580163,HOPE HOUSE FOUNDATION,NPI-2,Day Training  Developmentally Disabled Services,NORFOLK,VA
1073607743,MAXIM HEALTHCARE SERVICES  INC.,NPI-2,Home Health,PORTLAND,ME
1073608998,ORSINI PHARMACEUTICAL SERVICES  LLC,NPI-2,Pharmacy  Specialty Pharmacy,ELK GROVE VILLAGE,IL
1073614533,HUTHER DOYLE MEMORIAL INSTITUTE,NPI-2,Case Management,ROCHESTER,NY
1073629069,KAREN THORNTON,NPI-1,Family Medicine,NEW YORK,NY
1073633376,LIVING INNOVATIONS SUPPORT SERVICES  LLC,NPI-2,Day Training  Developmentally Disabled Services,DOVER,NH
1073657136,EMORY VALLEY CENTER,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,OAK RIDGE,TN
1073668174,RICHARD HEALTH SYSTEMS,NPI-2,Home Health,TOLEDO,OH
1073730347,MA-DEPARTMENT OF SOCIAL SERVICES-REHAB,NPI-2,Public Health or Welfare,BOSTON,MA
1073854451,NEW JERSEY DIVISION OF DEVELOPMENTAL DISABILITIES,NPI-2,Day Training  Developmentally Disabled Services,HAMILTON,NJ
1073972097,R&A HOME CARE,NPI-2,Home Health,CENTENNIAL,CO
1083632897,MENTAL HEALTH COOPERATIVE  INC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),NASHVILLE,TN
1083712830,NORTHEAST TREATMENT CENTERS  INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),PHILADELPHIA,PA
1083738868,BERGEN'S PROMISE  INC.,NPI-2,Case Management,HACKENSACK,NJ
1083743678,RESOURCES FOR HUMAN DEVELOPMENT INC.,NPI-2,Psychologist  Intellectual & Developmental Disabilities,NEWARK,DE
1083764724,INDEPENDENT LIVING SYSTEMS LLC,NPI-2,Case Management,MIAMI,FL
1083765689,ALABAMA DEPARTMENT OF MENTAL HEALTH AND MENTAL RETARDATION,NPI-2,Community/Behavioral Health,MONTGOMERY,AL
1083777163,PERMANENTE MEDICAL GROUP  INC.,NPI-2,Clinical Medical Laboratory,BERKELEY,CA
1083783013,NEW PARTNERS  INC,NPI-2,Home Health,NEW YORK,NY
1093091274,SUNRISE COMMUNITY OF TENNESSEE  INC.,NPI-2,Day Training  Developmentally Disabled Services,KNOXVILLE,TN
1093135584,EASTERN PANHANDLE MENTAL HEALTH CENTER (WAIVER),NPI-2,Community/Behavioral Health,MARTINSBURG,WV
1093140618,BLUEWATER TOXICOLOGY LLC,NPI-2,Clinical Medical Laboratory,MT WASHINGTON,KY
1093272296,SOCIAL ADVANCE CORP,NPI-2,Community/Behavioral Health,FLORIDA CITY,FL
1093285462,RELIANT PHYSICIANS (KUMAR) PLLC,NPI-2,Hospitalist,LAS VEGAS,NV
1093340606,TAYLORD LLC,NPI-2,Psychologist  Cognitive & Behavioral,PHOENIX,AZ
1093382012,USRC HONOLULU  LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,HONOLULU,HI
1093725897,COMMUNITY CARE NURSING SERVICES  INC.,NPI-2,Nursing Care,PARKVILLE,MD
1093767543,Not Found,Unknown,Unknown,Unknown,Unknown
1093787095,JUSTICE RESOURCE INSTITUTE  INC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),ACTON,MA
1093810889,LA FRONTERA CENTER  INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),TUCSON,AZ
1093826596,INNOVIVE HEALTH OF MASSACHUSETTS LLC,NPI-2,Home Health,MEDFORD,MA
1093834020,PURFOODS  LLC,NPI-2,Home Delivered Meals,ANKENY,IA
1093844037,THE ARC OF HARRISON COUNTY,NPI-2,Community/Behavioral Health,CLARKSBURG,WV
1093847113,FRANCIS A. ALLEN SCHOOL FOR EXCEPTIONAL CHILDREN  INC.,NPI-2,Day Training  Developmentally Disabled Services,LITTLE ROCK,AR
1093857948,MONMOUTH CARES  INC.,NPI-2,Case Management,WEST LONG BRANCH,NJ
1093864589,CATHOLIC COMMUNITY SERVICES OF WESTERN WASHINGTON,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),TACOMA,WA
1093873382,TRILLIUM FAMILY SERVICES  INC.,NPI-2,Residential Treatment Facility  Emotionally Disturbed Children,PORTLAND,OR
1093884488,CONTRA COSTA COUNTY,NPI-2,Clinic/Center  Emergency Care,MARTINEZ,CA
1093894172,UNITY HEALTH CARE  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),WASHINGTON,DC
1093895203,BEHAVIORAL HEALTH RESOURCES,NPI-2,Community/Behavioral Health,OLYMPIA,WA
1093927717,THE BAIR FOUNDATION,NPI-2,Community/Behavioral Health,LAS CRUCES,NM
1093945511,CENTER FOR COMPREHENSIVE SERVICES  INC,NPI-2,Rehabilitation Hospital,PADUCAH,KY
1093954711,AMERIBEST HOME CARE  LLC,NPI-2,Home Health,PHILADELPHIA,PA
1093990384,MACOMB RESIDENTIAL OPPORTUNITIES  INC.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,MOUNT CLEMENS,MI
1093996738,WELLBOUND OF SAN LEANDRO LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,SAN LEANDRO,CA
1104179803,MEDCARE EQUIPMENT COMPANY LLC,NPI-2,Durable Medical Equipment & Medical Supplies  Oxygen Equipment & Supplies,ERIE,PA
1104253558,CARE FINDERS TOTAL CARE LLC,NPI-2,Home Health,HACKENSACK,NJ
1104286400,OLSON HEALTHCARE  LLC,NPI-2,Home Health,TAMPA,FL
1104483593,ALLIANCE COACHING AND COUNSELING GROUP,NPI-2,Counselor  Professional,PHOENIX,AZ
1104819366,CHILDREN'S HOSPITAL,NPI-2,General Acute Care Hospital  Children,NEW ORLEANS,LA
1104901941,JAMESTOWN S'KLALLAM TRIBE,NPI-2,Clinic/Center  Rehabilitation  Substance Use Disorder,SEQUIM,WA
1104902048,CAB HEALTH & RECOVERY SERVICES  INC.,NPI-2,Community/Behavioral Health,PEABODY,MA
1104931625,CHIMES METRO  INC.,NPI-2,Psychologist  Intellectual & Developmental Disabilities,NEWARK,DE
1104951755,CIRCLE OF CARE FOR FAMILIES & CHILDREN  INC.,NPI-2,Case Management,WAYNE,NJ
1104956390,PROGRESSIVE BEHAVIOR SYSTEMS  PA,NPI-2,Day Training  Developmentally Disabled Services,RUPERT,ID
1104959717,FAMILIES AND COMMUNITY TOGETHER,NPI-2,Case Manager/Care Coordinator,MOUNTAINSIDE,NJ
1104963347,COUNTY OF ORANGE,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),SANTA ANA,CA
1104981356,CITY OF NEW YORK,NPI-2,Local Education Agency (LEA),BROOKLYN,NY
1104983543,SEATTLE-KING COUNTY DEPT OF PUBLIC HEALTH,NPI-2,Case Manager/Care Coordinator,SEATTLE,WA
1104986017,LUTHERAN FAMILY SERVICES OF VIRGINIA  INC.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,LYNCHBURG,VA
1114052024,PROGRESSIVE COMMUNITY SERVICES,NPI-2,Case Management,SAINT JOSEPH,MO
1114056397,BILLINGS PUBLIC SCHOOL DISTRICT 2,NPI-2,Local Education Agency (LEA),BILLINGS,MT
1114057163,CHAPA-DE INDIAN HEALTH PROGRAM  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),AUBURN,CA
1114058872,COMMONWEALTH OF MASS-DDS,NPI-2,Case Management,FRAMINGHAM,MA
1114061520,CHILDSERVE COMMUNITY OPTIONS  INC.,NPI-2,Respite Care  Respite Care  Intellectual and/or Developmental Disabilities  Child,JOHNSTON,IA
1114081254,COMMUNITY LIVING SERVICES  INC.,NPI-2,Community/Behavioral Health,WAYNE,MI
1114159902,ODYSSEY HEALTHCARE OF MARION COUNTY  LLC,NPI-2,Hospice Care  Community Based,MIAMI,FL
1114294600,ORANGE GROVE CENTER  INC.,NPI-2,Day Training  Developmentally Disabled Services,CHATTANOOGA,TN
1114329521,CRESTAR LABS LLC,NPI-2,Clinical Medical Laboratory,SPRING HILL,TN
1114348463,FREEDOM HEALTHCARE  LLC,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),BALTIMORE,MD
1114358736,AMAZING CARE HOME HEALTH SERVICES  LLC,NPI-2,Home Health,PHILADELPHIA,PA
1114431087,SIGNAL DIAGNOSTICS LLC,NPI-2,Clinical Medical Laboratory,LOS ANGELES,CA
1114558509,NEW YORK CITY HEALTH AND HOSPITAL CORPORATION,NPI-2,Case Management,NEW YORK,NY
1114682168,ESTRELLA HOME HEALTH CARE INC.,NPI-2,Home Health,DENVER,CO
1124100235,THE REDCO GROUP  LLC.,NPI-2,Community/Behavioral Health,POTTSVILLE,PA
1124127683,ARTHUR G JAMES CANCER HOSPITAL AND RESEARCH INSTITUTE,NPI-2,Special Hospital,COLUMBUS,OH
1124159363,TRICOUNTY CARE MANAGEMENT ORGANIZATION,NPI-2,Case Management,BRANCHBURG,NJ
1124215785,MISSISSIPPI DEPARTMENT OF REHABILITAION SERVICES,NPI-2,Case Management,JACKSON,MS
1124231782,MOORE CENTER SERVICES  INC.,NPI-2,Early Intervention Provider Agency,MANCHESTER,NH
1124253794,CHILDREN'S SERVICES OF ROXBURY  INC.,NPI-2,Community/Behavioral Health,ROXBURY,MA
1124304621,PUBLIC PARTNERSHIPS-COLORADO  INC.,NPI-2,Supports Brokerage,BOSTON,MA
1124342779,UNIVERSAL LANGUAGE SERVICE  INC.,NPI-2,Contractor,BELLEVUE,WA
1124347182,WILLIAM F RYAN COMMUNITY HEALTH CENTER INC,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),NEW YORK,NY
1124460548,LOVABLE FAMILY HOME CARE LLC,NPI-2,Day Training  Developmentally Disabled Services,PEMBROKE PINES,FL
1124485149,GATEWAY REHABILITATION CENTER,NPI-2,Substance Abuse Rehabilitation Facility,MT PLEASANT,PA
1124489638,PROSPECT KIDS  LLC,NPI-2,Early Intervention Provider Agency,BROOKLYN,NY
1124494059,TENNESSEE DEPARTMENT OF CHILDREN'S SERVICES,NPI-2,Public Health or Welfare,NASHVILLE,TN
1124561691,FRIENDS OF CYRUS II,NPI-2,Respite Care  Respite Care  Intellectual and/or Developmental Disabilities  Child,UPPER SADDLE RIVER,NJ
1124595764,SAFE RESIDENTIAL CARE  LLC,NPI-2,Residential Treatment Facility  Physical Disabilities,WESTBROOK,ME
1124598156,CARING ANGELS HOMECARE AGENCY  INC.,NPI-2,Home Health,WILMINGTON,DE
1124753249,SH DIAGNOSTICS INC,NPI-2,Clinical Medical Laboratory,CHICAGO,IL
1124779962,GOLD METTLE RECOVERY  LLC,NPI-2,Counselor  Professional,SURPRISE,AZ
1134107113,GANDARA MENTAL HEALTH CENTER INC,NPI-2,Counselor  Mental Health,SPRINGFIELD,MA
1134126865,BAY STATE COMMUNITY SERVICES  INC.,NPI-2,Clinic/Center  Mental Health (Including Community Mental Health Center),QUINCY,MA
1134144801,HENRY FORD HEALTH SYSTEM,NPI-2,General Acute Care Hospital,DETROIT,MI
1134152986,NATIONWIDE CHILDREN'S HOSPITAL,NPI-2,General Acute Care Hospital,COLUMBUS,OH
1134160187,LIBERTY DIALYSIS - HAWAII LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,KAILUA KONA,HI
1134203235,DOMUS VITA,NPI-2,Residential Treatment Facility  Intellectual and/or Developmental Disabilities,LIVONIA,MI
1134256530,LIVING IN FULFILLING ENVIRONMENTS  INC.,NPI-2,Community Based Residential Treatment Facility  Intellectual and/or Developmental Disabilities,BRISTOL,RI
1134257249,STATE OF NEW MEXICO,NPI-2,Public Health or Welfare,SANTA FE,NM
1134260078,MEDICAL TRANSPORTATION MANAGEMENT  INC.,NPI-2,Transportation Broker,LAKE ST LOUIS,MO
1134277494,BIOREFERENCE HEALTH  LLC,NPI-2,Clinical Medical Laboratory,ELMWOOD PARK,NJ
1134304090,ALJUD LICENSED HOME CARE SERVICES LLC,NPI-2,Home Health,BROOKLYN,NY
1134550437,JASMINE MEDICAL DAYCARE CENTER  INC.,NPI-2,Clinic/Center  Adult Day Care,GERMANTOWN,MD
1134632599,SWINOMISH HEALTH SERVICES,NPI-2,Clinic/Center  Rehabilitation  Substance Use Disorder,ANACORTES,WA
1134811433,ASTERLATION INC,NPI-2,Clinical Medical Laboratory,FRANKLIN PARK,IL
1144219551,FAMILY SERVICE ASSOCIATION OF GREATER FALL RIVER  INC.,NPI-2,Counselor  Mental Health,FALL RIVER,MA
1144310087,MICHAEL ROLLIN,NPI-1,Nurse Practitioner,HARRIS,NY
1144349150,SEVEN COUNTIES SERVICES  INC.,NPI-2,Clinic/Center  Developmental Disabilities,LOUISVILLE,KY
1144375056,KAISER FOUNDATION HOSPITALS,NPI-2,General Acute Care Hospital,ANAHEIM,CA
1144384389,SOUTHWEST BEHAVIORAL HEALTH SERVICES INC,NPI-2,Community/Behavioral Health,PHOENIX,AZ
1144451790,BENEFICIENT INC,NPI-2,Technician  Personal Care Attendant,HOUSTON,TX
1144626649,SAN JOSE FOOTHILL FAMILY COMMUNITY CLINIC  INC.,NPI-2,Clinic/Center  Federally Qualified Health Center (FQHC),GILROY,CA
1144681909,NV ST DV MH DS DESERT DEV CENTER,NPI-2,Respite Care  Respite Care  Intellectual and/or Developmental Disabilities  Child,LAS VEGAS,NV
1144731605,CURATIVE LABS INC.,NPI-2,Clinical Medical Laboratory,SAN DIMAS,CA
1144868100,VIVE CARE,NPI-2,Psychiatric Hospital,SAINT GEORGE,UT
